Epoch	TestAcc
1	0.2551
2	0.4206
3	0.6209
4	0.7268
5	0.7046
6	0.6949
7	0.6985
8	0.7754
9	0.8096
10	0.7312
11	0.8059
12	0.7586
13	0.8199
14	0.806
15	0.8233
16	0.8259
17	0.772
18	0.7713
19	0.8029
20	0.8229
21	0.81
22	0.827
23	0.8018
24	0.7507
25	0.8331
26	0.8525
27	0.8461
28	0.8294
29	0.8142
30	0.8862
31	0.8821
32	0.875
33	0.8774
34	0.8724
35	0.8704
36	0.8598
37	0.8727
38	0.8717
39	0.848
40	0.8521
41	0.8698
42	0.8553
43	0.8483
44	0.878
45	0.8369
46	0.8742
47	0.8699
48	0.8451
49	0.8466
50	0.8636
51	0.869
52	0.8356
53	0.848
54	0.8702
55	0.8694
56	0.8534
57	0.8818
58	0.8608
59	0.8638
60	0.9046
61	0.8995
62	0.8935
63	0.899
64	0.8891
65	0.8922
66	0.8796
67	0.8918
68	0.8892
69	0.8853
70	0.9003
71	0.8956
72	0.8851
73	0.8867
74	0.8772
75	0.8828
76	0.8807
77	0.872
78	0.8856
79	0.8778
80	0.8831
81	0.8902
82	0.8873
83	0.871
84	0.8785
85	0.8755
86	0.8633
87	0.8695
88	0.8795
89	0.8856
90	0.9069
91	0.9068
92	0.9113
93	0.9063
94	0.91
95	0.9064
96	0.9063
97	0.9043
98	0.9052
99	0.9027
100	0.9027
101	0.9015
102	0.9055
103	0.8921
104	0.8928
105	0.9031
106	0.8935
107	0.9014
108	0.8951
109	0.8897
110	0.8989
111	0.8886
112	0.8838
113	0.8865
114	0.8959
115	0.8965
116	0.8923
117	0.8889
118	0.8858
119	0.8936
120	0.9097
121	0.909
122	0.9109
123	0.9121
124	0.9131
125	0.9142
126	0.9137
127	0.9152
128	0.9148
129	0.9151
130	0.9149
131	0.9145
132	0.9168
133	0.9151
134	0.9166
135	0.9167
136	0.9174
137	0.9152
138	0.9163
139	0.9163
140	0.9166
141	0.9161
142	0.9167
143	0.9161
144	0.9171
145	0.9169
146	0.916
147	0.9161
148	0.917
149	0.9158
150	0.9161
151	0.916
152	0.9157
153	0.9157
154	0.9152
155	0.9151
156	0.9154
157	0.9164
158	0.916
159	0.9155
160	0.916
161	0.9163
162	0.9158
163	0.9162
164	0.9152
165	0.9158
166	0.9167
167	0.9165
168	0.9162
169	0.9158
170	0.9155
171	0.9158
172	0.9158
173	0.9154
174	0.9157
175	0.9167
176	0.9169
177	0.9155
178	0.9165
179	0.917
180	0.9163
181	0.917
182	0.9169
183	0.916
184	0.9173
185	0.9163
186	0.9163
187	0.9165
188	0.9164
189	0.9164
190	0.9167
191	0.9167
192	0.9159
193	0.9161
194	0.9158
195	0.9161
196	0.916
197	0.9163
198	0.9158
199	0.916
200	0.9171
201	0.917
202	0.917
203	0.9166
204	0.9162
205	0.9165
206	0.9169
207	0.9171
208	0.9166
209	0.9159
210	0.9169
211	0.9169
212	0.9159
213	0.9169
214	0.9167
215	0.9166
216	0.9159
217	0.9165
218	0.9161
219	0.9162
220	0.9164
221	0.9164
222	0.916
223	0.9164
224	0.9159
225	0.917
226	0.9165
227	0.9163
228	0.9165
229	0.9172
230	0.9163
231	0.9163
232	0.9169
233	0.9159
234	0.9164
235	0.9159
236	0.917
237	0.9171
238	0.9163
239	0.9172
240	0.917
241	0.9168
242	0.9171
243	0.9168
244	0.916
245	0.9167
246	0.9162
247	0.9168
248	0.916
249	0.9162
250	0.9166
251	0.9166
252	0.9166
253	0.9164
254	0.9166
255	0.9164
256	0.9167
257	0.9167
258	0.9169
259	0.9165
260	0.9161
261	0.9169
262	0.9168
263	0.916
264	0.9166
265	0.9172
266	0.9161
267	0.917
268	0.9169
269	0.9165
270	0.9176
271	0.9171
272	0.9166
273	0.9166
274	0.917
275	0.9165
276	0.9166
277	0.9172
278	0.9167
279	0.9171
280	0.9161
281	0.9168
282	0.9165
283	0.9173
284	0.9165
285	0.9172
286	0.917
287	0.9167
288	0.9161
289	0.9162
290	0.9167
291	0.9166
292	0.9158
293	0.9169
294	0.9166
295	0.9158
296	0.9166
297	0.9161
298	0.9165
299	0.9167
300	0.9164
