Epoch	TrainAcc
1	0.19926
2	0.40518
3	0.61678
4	0.70386
5	0.75776
6	0.79262
7	0.81606
8	0.83578
9	0.84756
10	0.85422
11	0.86606
12	0.87232
13	0.8791
14	0.88372
15	0.88808
16	0.89196
17	0.8978
18	0.90066
19	0.90382
20	0.90586
21	0.9079
22	0.90992
23	0.91364
24	0.91416
25	0.9168
26	0.91758
27	0.9172
28	0.91992
29	0.92384
30	0.95448
31	0.96474
32	0.96728
33	0.9648
34	0.96248
35	0.96384
36	0.9618
37	0.96154
38	0.96218
39	0.96022
40	0.96076
41	0.9607
42	0.96156
43	0.9618
44	0.95994
45	0.96238
46	0.96338
47	0.96374
48	0.96504
49	0.96124
50	0.9635
51	0.96224
52	0.96388
53	0.96432
54	0.96248
55	0.96622
56	0.96532
57	0.9645
58	0.96694
59	0.96722
60	0.98682
61	0.99198
62	0.99178
63	0.99144
64	0.99238
65	0.9899
66	0.9896
67	0.98908
68	0.9882
69	0.98794
70	0.98854
71	0.98792
72	0.98682
73	0.9856
74	0.98578
75	0.98518
76	0.98598
77	0.98428
78	0.98532
79	0.9847
80	0.98582
81	0.98334
82	0.98514
83	0.98336
84	0.98554
85	0.9851
86	0.98194
87	0.9838
88	0.98374
89	0.98202
90	0.99442
91	0.9977
92	0.99838
93	0.99832
94	0.9976
95	0.99838
96	0.99824
97	0.99778
98	0.99762
99	0.99748
100	0.99668
101	0.99632
102	0.99516
103	0.99732
104	0.99404
105	0.99582
106	0.995
107	0.9957
108	0.99394
109	0.9949
110	0.995
111	0.995
112	0.99524
113	0.995
114	0.99482
115	0.99218
116	0.99334
117	0.99452
118	0.99404
119	0.99258
120	0.99794
121	0.99912
122	0.99956
123	0.99964
124	0.99976
125	0.9999
126	0.99992
127	0.99994
128	0.99996
129	0.99998
130	1.0
131	0.99998
132	1.0
133	1.0
134	1.0
135	1.0
136	1.0
137	1.0
138	1.0
139	1.0
140	1.0
141	1.0
142	1.0
143	1.0
144	1.0
145	1.0
146	1.0
147	1.0
148	1.0
149	0.99998
150	1.0
151	1.0
152	1.0
153	1.0
154	1.0
155	1.0
156	1.0
157	1.0
158	1.0
159	0.99998
160	1.0
161	1.0
162	1.0
163	1.0
164	1.0
165	1.0
166	1.0
167	1.0
168	1.0
169	1.0
170	1.0
171	1.0
172	1.0
173	1.0
174	1.0
175	1.0
176	1.0
177	1.0
178	1.0
179	1.0
180	1.0
181	1.0
182	1.0
183	1.0
184	1.0
185	1.0
186	1.0
187	1.0
188	1.0
189	1.0
190	1.0
191	1.0
192	1.0
193	1.0
194	1.0
195	1.0
196	1.0
197	1.0
198	1.0
199	1.0
200	1.0
201	1.0
202	1.0
203	1.0
204	1.0
205	1.0
206	1.0
207	1.0
208	1.0
209	1.0
210	1.0
211	1.0
212	1.0
213	1.0
214	1.0
215	1.0
216	1.0
217	1.0
218	1.0
219	1.0
220	1.0
221	1.0
222	1.0
223	1.0
224	1.0
225	1.0
226	1.0
227	1.0
228	1.0
229	1.0
230	1.0
231	1.0
232	1.0
233	1.0
234	1.0
235	1.0
236	1.0
237	1.0
238	1.0
239	1.0
240	1.0
241	1.0
242	1.0
243	1.0
244	1.0
245	1.0
246	1.0
247	1.0
248	1.0
249	1.0
250	1.0
251	1.0
252	1.0
253	1.0
254	1.0
255	1.0
256	1.0
257	1.0
258	1.0
259	1.0
260	1.0
261	1.0
262	1.0
263	1.0
264	1.0
265	1.0
266	1.0
267	1.0
268	1.0
269	1.0
270	1.0
271	1.0
272	1.0
273	1.0
274	1.0
275	1.0
276	1.0
277	1.0
278	1.0
279	1.0
280	1.0
281	1.0
282	1.0
283	1.0
284	1.0
285	1.0
286	1.0
287	1.0
288	1.0
289	1.0
290	1.0
291	1.0
292	1.0
293	1.0
294	1.0
295	1.0
296	1.0
297	1.0
298	1.0
299	1.0
300	1.0
