Epoch	TestAcc
1	0.2304
2	0.5174
3	0.6723
4	0.7146
5	0.7019
6	0.716
7	0.7059
8	0.7491
9	0.7992
10	0.7813
11	0.7808
12	0.7718
13	0.8209
14	0.8261
15	0.7971
16	0.821
17	0.8272
18	0.7982
19	0.821
20	0.8279
21	0.7992
22	0.8131
23	0.8232
24	0.8217
25	0.8048
26	0.8532
27	0.8021
28	0.8461
29	0.8283
30	0.8661
31	0.8505
32	0.8564
33	0.8514
34	0.8668
35	0.8402
36	0.8747
37	0.8513
38	0.8566
39	0.8321
40	0.8598
41	0.8827
42	0.8673
43	0.8581
44	0.8727
45	0.8201
46	0.8402
47	0.8654
48	0.863
49	0.8378
50	0.8386
51	0.8434
52	0.8393
53	0.8672
54	0.8546
55	0.8619
56	0.8556
57	0.8395
58	0.8424
59	0.8589
60	0.8791
61	0.8846
62	0.8736
63	0.8627
64	0.8913
65	0.8787
66	0.8843
67	0.8665
68	0.8632
69	0.8869
70	0.8827
71	0.8825
72	0.8815
73	0.8808
74	0.8674
75	0.8604
76	0.8765
77	0.8924
78	0.876
79	0.888
80	0.88
81	0.8768
82	0.8825
83	0.8742
84	0.8856
85	0.8807
86	0.8536
87	0.8763
88	0.8774
89	0.8687
90	0.8924
91	0.8588
92	0.8907
93	0.8932
94	0.8807
95	0.8895
96	0.8859
97	0.8898
98	0.8885
99	0.8791
100	0.8844
101	0.8877
102	0.8802
103	0.8907
104	0.8875
105	0.8819
106	0.8857
107	0.8934
108	0.8844
109	0.8923
110	0.8538
111	0.8938
112	0.8874
113	0.8872
114	0.8946
115	0.891
116	0.8967
117	0.8877
118	0.8908
119	0.8928
120	0.9051
121	0.9023
122	0.8989
123	0.8981
124	0.9059
125	0.905
126	0.8963
127	0.9039
128	0.89
129	0.8968
130	0.9067
131	0.9033
132	0.8989
133	0.9015
134	0.8989
135	0.8922
136	0.8991
137	0.9035
138	0.9025
139	0.898
140	0.9027
141	0.9071
142	0.9017
143	0.9039
144	0.8948
145	0.9031
146	0.9037
147	0.8995
148	0.9036
149	0.8943
150	0.9097
151	0.9124
152	0.9139
153	0.9162
154	0.9155
155	0.9147
156	0.9179
157	0.9166
158	0.9172
159	0.9171
160	0.9168
161	0.9166
162	0.9167
163	0.9168
164	0.9174
165	0.9183
166	0.9182
167	0.9181
168	0.9175
169	0.9174
170	0.9167
171	0.9172
172	0.9166
173	0.9175
174	0.9168
175	0.9176
176	0.9183
177	0.9177
178	0.9178
179	0.918
180	0.9174
181	0.9184
182	0.9177
183	0.9177
184	0.9181
185	0.9174
186	0.9176
187	0.9184
188	0.9187
189	0.9179
190	0.9179
191	0.918
192	0.9183
193	0.9181
194	0.9169
195	0.9175
196	0.9181
197	0.918
198	0.9178
199	0.917
200	0.9186
201	0.9185
202	0.9187
203	0.9174
204	0.9172
205	0.9174
206	0.9184
207	0.9176
208	0.9177
209	0.9171
210	0.9181
211	0.9175
212	0.9181
213	0.9184
214	0.9183
215	0.9179
216	0.9183
217	0.9186
218	0.9175
219	0.918
220	0.9189
221	0.9179
222	0.9176
223	0.9181
224	0.9179
225	0.9177
226	0.918
227	0.9174
228	0.9176
229	0.9186
230	0.9191
231	0.9187
232	0.918
233	0.9189
234	0.918
235	0.9185
236	0.9177
237	0.9179
238	0.9176
239	0.918
240	0.9174
241	0.9178
242	0.9175
243	0.9175
244	0.9172
245	0.9178
246	0.9179
247	0.9176
248	0.918
249	0.9176
250	0.9175
251	0.9185
252	0.9186
253	0.9184
254	0.9182
255	0.9186
256	0.9176
257	0.9179
258	0.9176
259	0.9191
260	0.9178
261	0.9183
262	0.9185
263	0.9175
264	0.9189
265	0.9178
266	0.9175
267	0.9186
268	0.9188
269	0.9175
270	0.9182
271	0.9182
272	0.9187
273	0.9182
274	0.9177
275	0.9181
276	0.9179
277	0.9186
278	0.9183
279	0.9183
280	0.9179
281	0.9179
282	0.9187
283	0.9177
284	0.9176
285	0.918
286	0.9182
287	0.9184
288	0.9183
289	0.9184
290	0.9179
291	0.9184
292	0.9173
293	0.9186
294	0.9183
295	0.9177
296	0.9191
297	0.9186
298	0.9182
299	0.9184
300	0.9188
