Epoch	TrainAcc
1	0.22608
2	0.46134
3	0.63768
4	0.7182
5	0.76372
6	0.79404
7	0.8129
8	0.82592
9	0.83948
10	0.85072
11	0.85908
12	0.86582
13	0.87386
14	0.87978
15	0.88488
16	0.88722
17	0.89414
18	0.8949
19	0.89818
20	0.89928
21	0.90316
22	0.90544
23	0.90912
24	0.90956
25	0.90918
26	0.91224
27	0.91326
28	0.91464
29	0.91652
30	0.94352
31	0.9496
32	0.94972
33	0.9518
34	0.95154
35	0.9511
36	0.95004
37	0.95042
38	0.95382
39	0.9524
40	0.95268
41	0.95502
42	0.95208
43	0.95474
44	0.95436
45	0.95686
46	0.95726
47	0.95584
48	0.9566
49	0.95656
50	0.95918
51	0.95832
52	0.95942
53	0.95928
54	0.96034
55	0.96102
56	0.96076
57	0.96138
58	0.96
59	0.95822
60	0.97402
61	0.97558
62	0.97696
63	0.97722
64	0.9767
65	0.97674
66	0.97602
67	0.97798
68	0.97662
69	0.9763
70	0.97704
71	0.97772
72	0.97764
73	0.97708
74	0.97772
75	0.9764
76	0.97862
77	0.97832
78	0.97826
79	0.97884
80	0.97888
81	0.97866
82	0.9799
83	0.97844
84	0.9803
85	0.97924
86	0.97816
87	0.97844
88	0.9785
89	0.9802
90	0.98448
91	0.9863
92	0.98684
93	0.98582
94	0.98666
95	0.98742
96	0.98564
97	0.98696
98	0.98672
99	0.98722
100	0.98676
101	0.98758
102	0.98746
103	0.98686
104	0.9879
105	0.98762
106	0.98708
107	0.9886
108	0.98872
109	0.98872
110	0.98804
111	0.9886
112	0.98742
113	0.9887
114	0.98728
115	0.9892
116	0.98774
117	0.98846
118	0.9885
119	0.98854
120	0.99606
121	0.99798
122	0.99774
123	0.99676
124	0.99716
125	0.99686
126	0.99748
127	0.99768
128	0.99668
129	0.99646
130	0.99634
131	0.99716
132	0.99708
133	0.99576
134	0.9974
135	0.99746
136	0.99688
137	0.99702
138	0.99616
139	0.99776
140	0.99602
141	0.99762
142	0.99636
143	0.99752
144	0.99676
145	0.99716
146	0.99588
147	0.9975
148	0.99568
149	0.99658
150	0.99844
151	0.99962
152	0.99968
153	0.99994
154	0.99998
155	0.99996
156	0.99998
157	0.99996
158	0.99996
159	1.0
160	1.0
161	1.0
162	1.0
163	1.0
164	1.0
165	1.0
166	1.0
167	1.0
168	1.0
169	1.0
170	1.0
171	1.0
172	1.0
173	1.0
174	1.0
175	1.0
176	1.0
177	1.0
178	1.0
179	1.0
180	1.0
181	1.0
182	1.0
183	1.0
184	1.0
185	1.0
186	1.0
187	1.0
188	1.0
189	1.0
190	1.0
191	1.0
192	1.0
193	1.0
194	1.0
195	1.0
196	1.0
197	1.0
198	1.0
199	1.0
200	1.0
201	1.0
202	1.0
203	1.0
204	1.0
205	1.0
206	1.0
207	1.0
208	1.0
209	1.0
210	1.0
211	1.0
212	1.0
213	1.0
214	1.0
215	1.0
216	1.0
217	1.0
218	1.0
219	1.0
220	1.0
221	1.0
222	1.0
223	1.0
224	1.0
225	1.0
226	1.0
227	1.0
228	1.0
229	1.0
230	1.0
231	1.0
232	1.0
233	1.0
234	1.0
235	1.0
236	1.0
237	1.0
238	1.0
239	1.0
240	1.0
241	1.0
242	1.0
243	1.0
244	1.0
245	1.0
246	1.0
247	1.0
248	1.0
249	1.0
250	1.0
251	1.0
252	1.0
253	1.0
254	1.0
255	1.0
256	1.0
257	1.0
258	1.0
259	1.0
260	1.0
261	1.0
262	1.0
263	1.0
264	1.0
265	1.0
266	1.0
267	1.0
268	1.0
269	1.0
270	1.0
271	1.0
272	1.0
273	1.0
274	1.0
275	1.0
276	1.0
277	1.0
278	1.0
279	1.0
280	1.0
281	1.0
282	1.0
283	1.0
284	1.0
285	1.0
286	1.0
287	1.0
288	1.0
289	1.0
290	1.0
291	1.0
292	1.0
293	1.0
294	1.0
295	1.0
296	1.0
297	1.0
298	1.0
299	1.0
300	1.0
